Medinc	Unemp	Metro
67094	2.6	1
66898	3.2	0
62779	2.9	1
42258	3.7	1
58037	3.2	1
50473	3.6	1
61735	3.6	1
53788	3.8	1
52226	3.3	0
51354	4.1	1
39578	4.8	1
81925	2.9	1
53377	4.4	1
69541	3.3	1
61652	3.4	1
67187	3.2	0
55324	5.1	0
38525	3.7	0
42307	3.8	1
45906	3.4	1
50285	3.7	1
58203	3.1	0
39225	3.8	0
58634	3.9	0
42781	4.3	0
36779	3.5	1
38775	3.8	0
38288	5.1	0
42727	5	1
55384	3.1	1
61413	3.3	0
57409	3.8	0
35020	5.9	1
39412	4.2	0
41390	4.5	1
46019	5.7	1
41874	4.5	1
36354	3.9	0
79658	3.4	1
43766	4.2	1
42785	6	0
48831	4	0
33393	4.3	0
56555	4.2	1
35841	3.4	1
52502	4	0
55807	3.4	1
40499	4.3	1
54165	3.7	0
46869	5.6	1
39513	4.1	1
82733	3.1	0
42112	4	1
30239	7.7	0
46059	4.9	1
37593	4.6	0
78603	3.4	0
39480	4.5	1
38633	3.8	0
82184	3.5	1
38827	3.8	1
70974	3.4	0
48004	4.2	1
36096	4.9	1
48779	3.6	0
68835	3.3	1
38441	4.7	0
63477	4	0
35636	5.2	1
37278	4.6	1
38806	5.1	0
60512	4.1	1
34984	4.6	1
38667	3.2	0
65793	3.3	0
39681	4.8	0
37574	5.9	0
37319	3.7	1
43439	3.9	1
95021	3.5	1
44906	4.3	0
105921	3.1	1
42904	3.8	0
70808	4	0
47757	4.2	1
42820	4.2	0
53906	3.7	0
49101	3.8	0
41002	3.9	1
54016	4.2	0
72008	3.5	1
51829	3.7	0
61631	3.2	1
31716	6	1
47662	3.9	0
74686	3.4	1
47171	3.6	1
46218	3.9	1
72970	4.1	0
60728	4	0
38156	5.6	1
68984	3	0
51241	3.5	0
37211	4.9	0
38274	5.3	0
31419	5.4	1
34849	4	1
55737	3.7	1
48323	4.6	0
41564	4.4	1
42114	4.8	1
66090	3.6	1
47685	4.3	1
46967	5	1
46428	4	0
41820	4.1	1
55583	3.6	1
42768	5.6	0
42513	4	1
32868	6.2	1
51338	3.5	1
39114	5.1	0
38886	5	0
42483	3.7	1
36788	5.4	0
59362	3.7	1
41834	5.7	1
57978	3.6	1
46810	5.3	1
46628	5.1	1
56598	4.5	1
99497	3	1
51105	3.7	1
73309	3.4	1
46525	5.1	0
65062	3.5	1
44389	3.8	0
66901	3.6	1
43679	4.2	0
40582	4.3	0
51205	5	0
33908	5.5	0
44213	4	1
28298	5.9	1
40168	5.1	0
59673	4.4	0
45378	4.7	0
39048	5.4	1
36869	5.3	0
43510	4.7	0
45850	4.5	0
33053	4.7	0
37562	5.9	0
37265	5	0
34090	5.1	0
41440	4.2	0
36310	6.5	1
34297	6.8	0
35290	6.6	0
41642	4.7	0
45680	4	0
37148	5.8	0
45853	5.5	0
35069	5.8	0
45234	3.7	1
33261	5.1	0
42054	5.9	0
45943	3.6	1
40965	4.4	1
43767	3.9	0
65416	3.6	0
38357	3.9	0
38352	5	0
39444	5	0
44607	4.6	0
38187	6.3	0
32691	7.4	1
51579	3	0
47074	4.7	0
35961	5.2	0
39361	4.6	1
48708	4.4	0
80527	2.4	1
56383	3	0
83695	2.3	1
78503	2.4	1
55524	2.8	0
66827	2.5	1
45311	5.5	0
51300	2.7	0
53780	2.9	0
48451	4.6	0
50941	2.7	1
76113	2.4	0
56837	4.2	1
51373	4.1	0
60444	2.4	1
47118	4.4	0
50050	3.2	1
53866	2.3	0
53381	3.1	0
61219	2.8	0
51804	2.2	0
48471	3	0
46417	6.7	0
47682	4	1
49344	3.3	0
58170	2.1	1
51155	2.4	0
49857	3.4	0
51302	2.4	1
40569	4.7	0
61927	2.3	1
54020	2.5	0
56188	3.5	0
49538	2.5	0
44248	4.5	0
44911	5.5	0
50464	3.4	0
41827	1.7	1
53447	2.5	0
54476	2.8	1
52602	2.2	0
48192	3.6	0
51835	3.6	0
51921	2.9	0
36085	5.7	0
68749	2.2	0
51594	2.7	0
43402	4.1	0
65063	4.3	1
55174	3.9	1
35249	7.9	1
54800	4.4	0
74507	5.8	0
55327	2.7	1
56099	5	0
56099	5.3	0
51963	4.5	1
52486	4.5	0
53251	4.4	0
52936	5.3	0
54092	5.2	1
45427	5.3	0
66597	3.6	1
47291	4.8	0
63347	4	0
52313	5.4	1
60572	4	1
63274	4.4	0
55300	5.1	1
56976	4.1	0
93540	3.1	0
51577	4.7	0
51280	4.5	0
60773	3.7	1
47484	5.3	0
55357	4.8	0
42071	6.1	0
51258	6.2	0
43330	5.8	1
47314	4.9	0
79348	4.7	0
53028	4.4	0
53553	4.7	0
41713	7.8	1
53632	5	0
58042	5	1
55247	4.5	0
41445	4.6	0
54552	4.9	1
47425	5.3	0
59117	4.9	0
56832	4.4	1
53884	7.8	1
79834	4.9	1
53884	5.4	0
93345	3.5	1
44553	5.3	0
87336	4.5	0
54063	5.8	0
43767	5.9	0
54915	4.4	0
59323	4.4	0
52959	4.7	1
42887	5.1	1
86268	3.5	1
67087	4.2	1
50684	5.6	1
53409	4.9	0
60121	4.5	1
46096	4.9	0
57422	5.2	0
48764	6	1
43783	7	1
74872	4	1
58384	5.3	0
88481	3.5	0
53138	5.9	0
48976	4.4	0
59901	3.8	1
61794	5	0
56478	5.5	1
49965	6	0
67460	4.3	0
47815	4.8	0
43053	6.1	0
38400	8.2	0
66319	5.2	0
53607	4.4	1
48152	4.7	1
52642	5.2	0
58222	5	1
40761	6.5	0
62242	4.3	0
52018	4.5	0
55198	5.4	1
56509	4.3	0
52651	6.3	1
47357	4.8	0
61508	4.9	1
49716	6.5	0
44638	6.2	0
53414	4.5	0
53532	4.2	0
66937	3	0
50471	5.6	0
49507	4.3	1
57197	4.6	1
86108	4	1
46187	5.1	1
72247	4.1	0
55725	3.4	1
56693	2.6	1
54473	3.2	1
63067	2.6	0
51649	3.2	1
45161	3.9	1
85876	2.7	1
60944	3.2	0
57092	3.3	1
48598	3.7	1
56774	3.4	0
52699	3.9	0
51730	2.8	0
44152	4.5	1
55434	2.7	0
66502	3.6	0
57441	3	1
58987	2.8	0
43096	4	1
62126	2.5	0
59251	2.6	1
47737	4.6	0
64992	3.3	0
53493	3.6	0
62251	3.7	0
52798	3.4	0
56960	2.7	0
45138	3.9	1
46835	4.4	1
101740	2.7	1
73831	3	1
60379	3.5	0
80834	2.9	1
50183	3.5	0
55365	4.1	0
53809	3.6	1
55518	2.8	0
66720	3.9	0
48392	3.3	0
51031	3.4	1
51560	3.6	0
69880	2.9	0
48606	3.3	0
57367	2.6	1
67498	2.5	1
55280	4.9	0
52095	4.4	1
53187	3.8	1
49522	3.9	0
48409	3.5	0
55766	3.2	0
55444	2.7	1
47624	4	0
48883	3.6	1
53700	3	1
66151	3.4	0
53060	4.3	1
61341	2.9	0
58022	3.5	1
44968	3.9	0
49731	4.4	0
49639	4	0
52332	3.7	1
54265	3.5	1
69298	3.8	0
68162	2.8	1
49730	3.1	0
54718	3.8	0
46441	3.9	0
57436	3.6	1
53271	2.9	1
54674	3.6	1
44913	3.9	0
57193	3.1	0
56862	3.3	0
49972	4.3	1
58295	2.7	0
47554	4.7	1
47713	3.9	0
52269	3.2	1
60896	2.8	1
50300	3.1	1
50500	3.2	1
49287	5.5	0
48335	4.4	0
51487	3.5	1
60596	3.2	1
75534	2.9	0
44534	3.5	1
45130	3.6	0
60010	2.8	1
67758	2.9	0
60071	2.5	0
54282	2.4	0
51577	1.9	0
53359	3.1	0
44298	3.3	1
51210	2.4	1
62799	2.7	0
52320	2.8	1
63099	2.1	0
74646	2	0
59724	2.6	0
52683	2.1	0
57971	2.7	0
54865	2.5	0
60531	1.9	0
50356	2.7	0
67597	2.4	0
51939	2.6	0
56312	2.2	0
64190	2.7	0
52541	2.8	0
56338	3.2	0
53968	3.2	0
51317	3.2	1
54828	3.4	0
87267	1.7	0
54830	2.7	0
41101	2.2	0
61342	2.1	0
51805	3.3	1
55603	3.2	0
60367	2.4	0
51497	2.7	0
50893	3	0
53811	2.7	0
59367	2.1	0
54658	1.9	1
51861	2.3	1
65060	2.5	0
60306	2.6	0
56738	2.7	0
60859	2.3	1
55303	2.8	0
60044	2.2	0
55856	2.5	0
53500	2.5	0
60166	2.5	0
60312	2	0
64188	2.1	0
54663	2.8	0
60378	2.6	1
